UniProtID	Synonyms
A0A021WW32	Verthandi; Verthandi
A0A023GRW4	Terribly reduced optic lobes; lobes
A0A0B4JCQ4	Missinginmetastasis; Missinginmetastasis
A0A0B4JCQ5	phosphatidate phosphatase; 3.1.3.4; phosphatase
A0A0B4JCQ7	Suppressor of variegation 210; 210
A0A0B4JCS1	Lipin; 3.1.3.4; Lipin
A0A0B4JCU7	Matrix metalloproteinase 1; 3.4.24.; 1
A0A0B4JCV4	Transforming acidic coiledcoil protein; protein
A0A0B4JCY1	Anoctamin; Anoctamin
A0A0B4JCZ2	Inwardly rectifying potassium channel 1; 1
A0A0B4JCZ4	Syntaxin 1A; 1A
A0A0B4JCZ8	Missinginmetastasis; Missinginmetastasis
A0A0B4JD00	phosphatidate phosphatase; 3.1.3.4; phosphatase
A0A0B4JD03	Suppressor of variegation 210; 210
A0A0B4JD07	protein kinase C; 2.7.11.13; C
A0A0B4JD27	Lipin; 3.1.3.4; Lipin
A0A0B4JD31	Lipin; 3.1.3.4; Lipin
A0A0B4JD33	Suppressor of variegation 210; 210
A0A0B4JD39	Tramtrack; Tramtrack
A0A0B4JD47	Missinginmetastasis; Missinginmetastasis
A0A0B4JD53	Matrix metalloproteinase 1; 3.4.24.; Matrix metalloproteinase 1; 1
A0A0B4JD57	Zipper; Zipper
A0A0B4JD82	StretchinMlck; 2.7.11.17; 2.7.11.18; StretchinMlck
A0A0B4JD95	Zipper; Zipper
A0A0B4JD97	Transforming acidic coiledcoil protein; protein
A0A0B4JDA0	Moira; Moira
A0A0B4JDA7	Matrix metalloproteinase 1; 3.4.24.; 1
A0A0B4JDG1	Tramtrack; Tramtrack
A0A0B4K5Z8	Protein transport protein SEC23; SEC23
A0A0B4K602	Transcription initiation factor TFIID subunit 1; 1
A0A0B4K618	Fragile X messenger ribonucleoprotein 1; 1
A0A0B4K630	Homeobox protein prospero; prospero
A0A0B4K638	Phospholipidtransporting ATPase; 7.6.2.1; ATPase
A0A0B4K657	Bitesize; Bitesize
A0A0B4K661	Tropomyosin 1; 1
A0A0B4K669	Phospholipidtransporting ATPase; 7.6.2.1; ATPase
A0A0B4K692	Neprilysin2; 3.4.24.11; Neprilysin2; Neprilysin2
A0A0B4K697	nonspecific serinethreonine protein kinase; 2.7.11.1; kinase
A0A0B4K6B8	Modifier of mdg4; 3.1.3.4; mdg4
A0A0B4K6C7	Polychaetoid; Polychaetoid
A0A0B4K6E1	Capncollar; Capncollar; Capncollar
A0A0B4K6G8	Capncollar; Capncollar; Capncollar
A0A0B4K6I7	Transforming acidic coiledcoil protein; Transforming acidic coiledcoil protein; protein
A0A0B4K6K8	Musashi; Musashi
A0A0B4K6M2	Rab3 interacting molecule; Rab3 interacting molecule; molecule
A0A0B4K6P4	Hephaestus; Hephaestus
A0A0B4K6Q6	Homeobox protein prospero; prospero
A0A0B4K6Q9	Down syndrome cell adhesion molecule 1; 1
A0A0B4K6R4	Down syndrome cell adhesion molecule 1; 1
A0A0B4K6R8	Down syndrome cell adhesion molecule 1; 1
A0A0B4K6S2	Down syndrome cell adhesion molecule 1; 1
A0A0B4K6T4	Protein transport protein SEC23; SEC23
A0A0B4K6T9	Suppressor of variegation 210; 210
A0A0B4K6U3	protein kinase C; 2.7.11.13; C
A0A0B4K6V0	Bruchpilot; Bruchpilot
A0A0B4K6W9	Hephaestus; Hephaestus
A0A0B4K6Y7	Polychaetoid; Polychaetoid
A0A0B4K6Y8	Tropomyosin 1; 1
A0A0B4K6Y9	Down syndrome cell adhesion molecule 1; 1
A0A0B4K6Z0	Capncollar; Capncollar; Capncollar; Capncollar
A0A0B4K6Z1	Rumpelstiltskin; Rumpelstiltskin
A0A0B4K6Z3	Down syndrome cell adhesion molecule 1; 1
A0A0B4K6Z4	Nonspecific lethal 1; 1
A0A0B4K6Z8	Down syndrome cell adhesion molecule 1; 1
A0A0B4K718	Short stop; stop
A0A0B4K727	protein kinase C; 2.7.11.13; C
A0A0B4K756	Phospholipidtransporting ATPase; 7.6.2.1; ATPase
A0A0B4K765	Paired amphipathic helix protein Sin3a; Histone deacetylase complex subunit Sin3a; Transcriptional corepressor Sin3a; Sin3a
A0A0B4K774	Abelson interacting protein; protein
A0A0B4K788	Short stop; stop
A0A0B4K7A6	Modifier of mdg4; 3.1.3.4; mdg4
A0A0B4K7C4	nonspecific serinethreonine protein kinase; 2.7.11.1; kinase
A0A0B4K7C5	peptidylprolyl isomerase; 5.2.1.8; isomerase
A0A0B4K7H4	Missinginmetastasis; Missinginmetastasis
A0A0B4K7H5	Matrix metalloproteinase 1; 3.4.24.; Matrix metalloproteinase 1; 1
A0A0B4K7H7	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7H9	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7I3	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7I5	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7J2	E3 SUMOprotein ligase RanBP2; 2.3.2.; 358 kDa nucleoporin; Nuclear pore complex protein Nup358; RanBP2
A0A0B4K7J3	receptor protein serinethreonine kinase; 2.7.11.30; kinase
A0A0B4K7K9	Bruchpilot; Bruchpilot
A0A0B4K7P1	P53; P53
A0A0B4K7P8	Short stop; stop
A0A0B4K7Q3	Alphabet; 3.1.3.16; Alphabet
A0A0B4K7Q4	Zipper; Zipper
A0A0B4K7Q6	Myoblast city; city
A0A0B4K7T1	Missinginmetastasis; Missinginmetastasis
A0A0B4K7T4	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7T5	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7T6	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2; 2
A0A0B4K7T8	Down syndrome cell adhesion molecule 1; 1
A0A0B4K7V8	Bruchpilot; Bruchpilot
A0A0B4K7Y9	Short stop; stop
A0A0B4K822	Missinginmetastasis; Missinginmetastasis
A0A0B4K823	Down syndrome cell adhesion molecule 1; 1
A0A0B4K824	Down syndrome cell adhesion molecule 1; 1
A0A0B4K827	Down syndrome cell adhesion molecule 1; 1
A0A0B4K828	Down syndrome cell adhesion molecule 1; 1
A0A0B4K843	Bruchpilot; Bruchpilot
A0A0B4K867	Short stop; stop
A0A0B4K869	Short stop; Short stop; stop
A0A0B4KED3	Missinginmetastasis; Missinginmetastasis
A0A0B4KEE4	Klaroid protein; protein
A0A0B4KEE8	Missinginmetastasis; Missinginmetastasis
A0A0B4KEF4	Down syndrome cell adhesion molecule 1; 1
A0A0B4KEI6	Junrelated antigen; antigen
A0A0B4KEK0	Missinginmetastasis; Missinginmetastasis
A0A0B4KEN4	Vanglike protein; protein
A0A0B4KEP4	Myocyte enhancer factor 2; 2
A0A0B4KEU2	Scribbler; Scribbler
A0A0B4KEU9	Missinginmetastasis; Missinginmetastasis
A0A0B4KF38	Bruchpilot; Bruchpilot
A0A0B4KF46	E1 ubiquitinactivating enzyme; 6.2.1.45; Ubiquitinactivating enzyme E1; enzyme
A0A0B4KF82	Canoe; Canoe
A0A0B4KF84	StretchinMlck; 2.7.11.17; 2.7.11.18; StretchinMlck
A0A0B4KF86	Autophagyrelated protein 9; 9
A0A0B4KFC0	Schnurri; Schnurri
A0A0B4KFC4	Ribbon; Ribbon
A0A0B4KFD2	Alhambra; Alhambra
A0A0B4KFE4	longchainfattyacidCoA ligase; 6.2.1.3; ligase
A0A0B4KFI1	Myocyte enhancer factor 2; 2
A0A0B4KFJ2	Aryl hydrocarbon receptor nuclear translocator homolog; homolog
A0A0B4KFK1	Transforming acidic coiledcoil protein; protein
