Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
Not needed	78022	gene product	Not needed	78189	gene product	database
Not needed	78022	gene product	Not needed	78345	gene product	database
Not needed	78036	gene product	Not needed	78298	gene product	database
Not needed	78037	gene product	Not needed	78282	gene product	database
Not needed	78037	gene product	Not needed	78188	gene product	database
Not needed	78037	gene product	Not needed	78417	gene product	database
Not needed	78037	gene product	Not needed	78241	gene product	database
Not needed	78037	gene product	Not needed	78298	gene product	database
Not needed	78047	gene product	Not needed	78048	gene product	database
Not needed	78054	gene product	Not needed	74793	metabolite	database
Not needed	78054	gene product	Not needed	78459	gene product	database
Not needed	78062	gene product	Not needed	78471	gene product	database
Not needed	78062	gene product	Not needed	78848	gene product	database
Not needed	78062	gene product	Not needed	78285	gene product	database
Not needed	78063	gene product	Not needed	78184	gene product	database
Not needed	78063	gene product	Not needed	78848	gene product	database
Not needed	78063	gene product	Not needed	78285	gene product	database
Not needed	78093	gene product	Not needed	78525	gene product	database
Not needed	78099	gene product	Not needed	78173	gene product	database
Not needed	78099	gene product	Not needed	78179	gene product	database
Not needed	78103	gene product	Not needed	78170	gene product	database
Not needed	78110	gene product	Not needed	78152	gene product	database
Not needed	78117	gene product	Not needed	78562	gene product	database
Not needed	78117	gene product	Not needed	78301	gene product	database
Not needed	78118	gene product	Not needed	78350	gene product	database
Not needed	78120	gene product	Not needed	79088	gene product	database
Not needed	78129	gene product	Not needed	78254	gene product	database
Not needed	78130	gene product	Not needed	78597	gene product	database
Not needed	78130	gene product	Not needed	78550	gene product	database
Not needed	78130	gene product	Not needed	78184	gene product	database
Not needed	78130	gene product	Not needed	79614	gene product	database
Not needed	78003	gene product	Not needed	78442	gene product	database
Not needed	78003	gene product	Not needed	78530	gene product	database
Not needed	78003	gene product	Not needed	78363	gene product	database
Not needed	78003	gene product	Not needed	78245	gene product	database
Not needed	78003	gene product	Not needed	79586	gene product	database
Not needed	78145	gene product	Not needed	78146	gene product	database
Not needed	78152	gene product	Not needed	78218	gene product	database
Not needed	78152	gene product	Not needed	78497	gene product	database
Not needed	78170	gene product	Not needed	78848	gene product	database
Not needed	78174	gene product	Not needed	78175	gene product	database
Not needed	78179	gene product	Not needed	78453	gene product	database
Not needed	78184	gene product	Not needed	79400	gene product	database
Not needed	78184	gene product	Not needed	78848	gene product	database
Not needed	78184	gene product	Not needed	78285	gene product	database
Not needed	78189	gene product	Not needed	79671	gene product	database
Not needed	78194	gene product	Not needed	78479	gene product	database
Not needed	78210	gene product	Not needed	78498	gene product	database
Not needed	78218	gene product	Not needed	78497	gene product	database
Not needed	78242	gene product	Not needed	79217	gene product	database
Not needed	78242	gene product	Not needed	79218	gene product	database
Not needed	78267	gene product	Not needed	79121	gene product	database
Not needed	78267	gene product	Not needed	78667	gene product	database
Not needed	78270	gene product	Not needed	78920	gene product	database
Not needed	78285	gene product	Not needed	79622	gene product	database
Not needed	78285	gene product	Not needed	79614	gene product	database
Not needed	78290	gene product	Not needed	78538	gene product	database
Not needed	78301	gene product	Not needed	78604	gene product	database
Not needed	78303	gene product	Not needed	78459	gene product	database
Not needed	78345	gene product	Not needed	78963	gene product	database
Not needed	78382	gene product	Not needed	78383	gene product	database
Not needed	78429	gene product	Not needed	80743	gene product	database
Not needed	78430	gene product	Not needed	79022	gene product	database
Not needed	78432	gene product	Not needed	78437	gene product	database
Not needed	78442	gene product	Not needed	78530	gene product	database
Not needed	78451	gene product	Not needed	78572	gene product	database
Not needed	78457	gene product	Not needed	79168	gene product	database
Not needed	78459	gene product	Not needed	78484	gene product	database
Not needed	78464	gene product	Not needed	81089	gene product	database
Not needed	78472	gene product	Not needed	78526	gene product	database
Not needed	78484	gene product	Not needed	629	lipid	database
Not needed	78538	gene product	Not needed	78591	gene product	database
Not needed	78541	gene product	Not needed	79182	gene product	database
Not needed	78550	gene product	Not needed	79400	gene product	database
Not needed	78572	gene product	Not needed	79634	gene product	database
Not needed	78572	gene product	Not needed	79418	gene product	database
Not needed	29506	metabolite	Not needed	78633	gene product	database
Not needed	78616	gene product	Not needed	79365	gene product	database
Not needed	78620	gene product	Not needed	80743	gene product	database
Not needed	78620	gene product	Not needed	79381	gene product	database
Not needed	78716	gene product	Not needed	80282	gene product	database
Not needed	78738	gene product	Not needed	79659	gene product	database
Not needed	78848	gene product	Not needed	79365	gene product	database
Not needed	78848	gene product	Not needed	79105	gene product	database
Not needed	78854	gene product	Not needed	80728	gene product	database
Not needed	78854	gene product	Not needed	79771	gene product	database
Not needed	78854	gene product	Not needed	80140	gene product	database
Not needed	78854	gene product	Not needed	80456	gene product	database
Not needed	78854	gene product	Not needed	79615	gene product	database
Not needed	79041	gene product	Not needed	79671	gene product	database
Not needed	79151	gene product	Not needed	79226	gene product	database
Not needed	79217	gene product	Not needed	79218	gene product	database
Not needed	79249	gene product	Not needed	79268	gene product	database
Not needed	79309	gene product	Not needed	80360	gene product	database
Not needed	79341	gene product	Not needed	79624	gene product	database
Not needed	79426	gene product	Not needed	79526	gene product	database
Not needed	78155	gene product	Not needed	80140	gene product	database
Not needed	79614	gene product	Not needed	80596	gene product	database
Not needed	79621	gene product	Not needed	79622	gene product	database
Not needed	79787	gene product	Not needed	79788	gene product	database
Not needed	80456	gene product	Not needed	80728	gene product	database
Not needed	80755	gene product	Not needed	80756	gene product	database
Not needed	81107	gene product	Not needed	81486	gene product	database
Not needed	81869	gene product	Not needed	81870	gene product	database
Not needed	78004	gene product	Not needed	29902	metabolite	database
Not needed	78006	gene product	Not needed	29916	metabolite	database
Not needed	78006	gene product	Not needed	31006	metabolite	database
Not needed	78011	gene product	Not needed	29902	metabolite	database
Not needed	78014	gene product	Not needed	28425	metabolite	database
