Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
enolase	78181	gene product	pyruvatekinase	79506	gene product	database
2phosphodglycerate	29522	metabolite	3phosphodglycerate	28972	metabolite	database
pyruvate	27804	metabolite	phosphoenolpyruvate	29643	metabolite	database
3phosphodglycerate	28972	metabolite	dglyceraldehyde3phosphate	29033	metabolite	database
3phosphodglyceroylphosphate	28259	metabolite	dglyceraldehyde3phosphate	29033	metabolite	database
phosphoenolpyruvate	29643	metabolite	2phosphodglycerate	29522	metabolite	database
3phosphodglycerate	28972	metabolite	3phosphodglyceroylphosphate	28259	metabolite	database
dglyceraldehyde3phosphate	29033	metabolite	glyceronephosphate	28332	metabolite	database
glyceronephosphate	28332	metabolite	triosephosphateisomerase	78507	gene product	database
dglyceraldehyde3phosphate	29033	metabolite	triosephosphateisomerase	78507	gene product	database
3phosphodglyceroylphosphate	28259	metabolite	phosphoglyceratekinase	79317	gene product	database
3phosphodglycerate	28972	metabolite	phosphoglyceratekinase	79317	gene product	database
2phosphodglycerate	29522	metabolite	enolase	78181	gene product	database
phosphoenolpyruvate	29643	metabolite	enolase	78181	gene product	database
phosphoenolpyruvate	29643	metabolite	pyruvatekinase	79506	gene product	database
pyruvate	27804	metabolite	pyruvatekinase	79506	gene product	database
galactokinase	79260	gene product	udpglucosehexose1phosphateuridylyltransferase	78282	gene product	database
udpalphadgalactose	45579	metabolite	alphadgalactose1phosphate	29609	metabolite	database
alphadgalactose1phosphate	29609	metabolite	alphadgalactose	30425	metabolite	database
malonylacylcarrierprotein	29172	metabolite	tetradecanoylacp	32090	metabolite	database
acetoacetylacp	33091	metabolite	acetylacylcarrierprotein	29000	metabolite	database
malonylacylcarrierprotein	29172	metabolite	decanoylacp	33486	metabolite	database
3oxohexadecanoylacp	33011	metabolite	malonylacylcarrierprotein	29172	metabolite	database
malonylacylcarrierprotein	29172	metabolite	acetylacylcarrierprotein	29000	metabolite	database
acetoacetylacp	33091	metabolite	malonylacylcarrierprotein	29172	metabolite	database
3oxohexadecanoylacp	33011	metabolite	tetradecanoylacp	32090	metabolite	database
malonylacylcarrierprotein	29172	metabolite	octanoylacp	33983	metabolite	database
acetylacylcarrierprotein	29000	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
malonylacylcarrierprotein	29172	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
acetoacetylacp	33091	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
octanoylacp	33983	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
decanoylacp	33486	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
tetradecanoylacp	32090	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
3oxohexadecanoylacp	33011	metabolite	3oxoacylacylcarrierproteinsynthaseii	78390	gene product	database
nucleosidediphosphatekinase	78513	gene product	dutppyrophosphatase	78080	gene product	database
dump	29372	metabolite	dutp	29375	metabolite	database
dudp	30886	metabolite	udp	29397	metabolite	database
dttp	29683	metabolite	dtdp	29682	metabolite	database
dtmp	28949	metabolite	dump	29372	metabolite	database
dutp	29375	metabolite	dudp	30886	metabolite	database
dtdp	29682	metabolite	dtmp	28949	metabolite	database
dudp	30886	metabolite	nucleosidediphosphatekinase	78513	gene product	database
dutp	29375	metabolite	nucleosidediphosphatekinase	78513	gene product	database
dtdp	29682	metabolite	nucleosidediphosphatekinase	78513	gene product	database
dttp	29683	metabolite	nucleosidediphosphatekinase	78513	gene product	database
dutp	29375	metabolite	dutppyrophosphatase	78080	gene product	database
dump	29372	metabolite	dutppyrophosphatase	78080	gene product	database
dtmp	28949	metabolite	dtmpkinase	79205	gene product	database
dtdp	29682	metabolite	dtmpkinase	79205	gene product	database
isochorismate	35282	metabolite	chorismate	31063	metabolite	database
2succinylbenzoylcoa	41094	metabolite	2succinylbenzoate	29844	metabolite	database
14dihydroxy2naphthoylcoa	40388	metabolite	2succinylbenzoylcoa	41094	metabolite	database
14dihydroxy2naphthoate	34452	metabolite	14dihydroxy2naphthoylcoa	40388	metabolite	database
2succinylbenzoate	29844	metabolite	1r6r6hydroxy2succinylcyclohexa24diene1carboxylate	38314	metabolite	database
menaquinol	29733	metabolite	demethylmenaquinonemethyltransferase	79171	gene product	database
palmitoylcoa	7589	lipid	hexadecanoicacid	39	lipid	database
hexadecanoicacid	39	lipid	longchainfattyacidcoaligase	78804	gene product	database
palmitoylcoa	7589	lipid	longchainfattyacidcoaligase	78804	gene product	database
udpglucosehexose1phosphateuridylyltransferase	78282	gene product	udpglucose4epimerase	78254	gene product	database
aldose1epimerase	79294	gene product	galactokinase	79260	gene product	database
udpglucose	29677	metabolite	alphadgalactose1phosphate	29609	metabolite	database
alphadgalactose	30425	metabolite	dgalactose	33467	metabolite	database
udpalphadgalactose	45579	metabolite	udpglucose	29677	metabolite	database
dglucose1phosphate	28309	metabolite	udpglucose	29677	metabolite	database
dglucose1phosphate	28309	metabolite	udpalphadgalactose	45579	metabolite	database
dglucose1phosphate	28309	metabolite	alphadgalactose1phosphate	29609	metabolite	database
dgalactose	33467	metabolite	aldose1epimerase	79294	gene product	database
alphadgalactose	30425	metabolite	aldose1epimerase	79294	gene product	database
alphadgalactose	30425	metabolite	galactokinase	79260	gene product	database
alphadgalactose1phosphate	29609	metabolite	galactokinase	79260	gene product	database
alphadgalactose1phosphate	29609	metabolite	udpglucosehexose1phosphateuridylyltransferase	78282	gene product	database
udpglucose	29677	metabolite	udpglucosehexose1phosphateuridylyltransferase	78282	gene product	database
udpalphadgalactose	45579	metabolite	udpglucosehexose1phosphateuridylyltransferase	78282	gene product	database
dglucose1phosphate	28309	metabolite	udpglucosehexose1phosphateuridylyltransferase	78282	gene product	database
alphadglucosamine1phosphate	30144	metabolite	dglucosamine6phosphate	34690	metabolite	database
udpnacetylalphadglucosamine	23190	lipid	nacetylalphadglucosamine1phosphate	28569	metabolite	database
dglucosamine6phosphate	34690	metabolite	dfructose6phosphate	28220	metabolite	database
nacetylalphadglucosamine1phosphate	28569	metabolite	alphadglucosamine1phosphate	30144	metabolite	database
dglucosamine6phosphate	34690	metabolite	phosphoglucosaminemutase	78420	gene product	database
alphadglucosamine1phosphate	30144	metabolite	phosphoglucosaminemutase	78420	gene product	database
