DancePartnerID	ID	Synonym	Type
0	LMFA00000001	acetylenicacids	lipid
0	LMFA00000001	2methoxy12methyloctadec17en5ynoylanhydride	lipid
0	LMFA01030475	10e16heptadecadien8ynoicacid	lipid
0	LMFA01030475	acetylenicacids	lipid
0	LMFA01030475	1016heptadecadien8ynoicacide	lipid
0	LMFA01030511	11e13eoctadecadien9ynoicacid	lipid
0	LMFA01030511	acetylenicacids	lipid
0	LMFA01030511	1113octadecadien9ynoicacidee	lipid
0	LMFA01030560	11eoctadecen9ynoicacid	lipid
0	LMFA01030560	agonandoicacid	lipid
0	LMFA01030560	trans11octadecen9ynoicacid	lipid
0	LMFA01030560	11octadecen9ynoicacide	lipid
0	LMFA01030560	santalbicacid	lipid
0	LMFA01030560	acetylenicacids	lipid
0	LMFA01030560	ximeninicacid	lipid
0	LMFA01030561	11octadecen9ynoicacidz	lipid
0	LMFA01030561	acetylenicacids	lipid
0	LMFA01030561	11zoctadecen9ynoicacid	lipid
0	LMFA01030561	cis11octadecen9ynoicacid	lipid
0	LMFA01030562	acetylenicacids	lipid
0	LMFA01030562	17octadecen9ynoicacid	lipid
0	LMFA01030693	5z8z14zeicosatrien11ynoicacid	lipid
0	LMFA01030693	acetylenicacids	lipid
0	LMFA01030694	5z11z14zeicosatrien8ynoicacid	lipid
0	LMFA01030694	acetylenicacids	lipid
0	LMFA01030703	acetylenicacids	lipid
0	LMFA01030703	6e8e12e14ehexadecatetraen10ynoicacid	lipid
0	LMFA01030706	acetylenicacids	lipid
0	LMFA01030706	6e8e12ehexadecatrien10ynoicacid	lipid
0	LMFA01030734	acetylenicacids	lipid
0	LMFA01030734	9z12zoctadecadien6ynoicacid	lipid
0	LMFA01030741	acetylenicacids	lipid
0	LMFA01030741	9eoctadecen12ynoicacid	lipid
0	LMFA01030748	acetylenicacids	lipid
0	LMFA01030748	5615trihydroxy7913eicosatrien11ynoicacid	lipid
0	LMFA01050258	7hydroxy10e16heptadecadien8ynoicacid	lipid
0	LMFA01050258	acetylenicacids	lipid
0	LMFA01050258	1016heptadecadien8ynoicacid7hydroxye	lipid
0	LMFA01050260	acetylenicacids	lipid
0	LMFA01050260	10heptadecen8ynoicacid7hydroxy	lipid
0	LMFA01050260	7hydroxy10heptadecen8ynoicacid	lipid
0	LMFA02000191	1117octadecadien9ynoicacid8hydroxye	lipid
0	LMFA02000191	acetylenicacids	lipid
0	LMFA02000191	8hydroxy11e17octadecadien9ynoicacid	lipid
0	LMFA02000192	acetylenicacids	lipid
0	LMFA02000192	9hydroxy10e14zoctadecadien12ynoicacid	lipid
0	LMFA02000192	1014octadecadien12ynoicacid9hydroxyez	lipid
0	LMFA02000215	8hydroxy11zoctadecen9ynoicacid	lipid
0	LMFA02000215	acetylenicacids	lipid
0	LMFA02000215	11octadecen9ynoicacid8hydroxyz	lipid
0	CHEBI:86506	allcis912octadecadien6ynoicacid	lipid
0	CHEBI:86506	9z12zoctadecadien6ynoicacid	lipid
1	LMFA00000002	n3shydroxydecanoyllserine	lipid
2	LMFA00000003	n3hexadecanoyloxyheptadecanoyllornithine	lipid
3	LMFA00000005	n315methylhexadecanoyloxy13methyltetradecanoyllserine	lipid
4	LMFA00000006	22s6amino23hydroxy14methylpentadecanamidohexanoyloxyethyl2hydroxy13methyltetradecanoate	lipid
5	LMFA00000007	caprinohydroxamicacid	lipid
5	LMFA00000007	decanohydroxamicacid	lipid
5	LMFA00000007	ndecanohydroxamicacid	lipid
5	LMFA00000007	nhydroxydecanamide	lipid
5	CHEBI:32350	caprinohydroxamicacid	lipid
5	CHEBI:32350	ndecanohydroxamicacid	lipid
5	CHEBI:32350	decanohydroxamicacid	lipid
6	LMFA00000008	9s10s10hydroxy9phosphonooxystearicacid	lipid
6	LMFA00000008	9s10s10hydroxy9phosphonooxyoctadecanoicacid	lipid
6	CHEBI:49253	9s10s10hydroxy9phosphonooxystearicacid	lipid
7	LMFA00000009	66aminohexanamidohexanoicacid	lipid
8	LMFA00000014	2aminoethyl5z8z11z14zeicosatetraenoate	lipid
9	LMFA00000015	ddm	lipid
9	CHEBI:28555	112chloroethylidenebis4chlorobenzene	lipid
9	CHEBI:28555	ddms	lipid
9	CHEBI:28555	1chloro42chloro14chlorophenylethylbenzene	lipid
9	CHEBI:28555	1chloro22bis4chlorophenylethane	lipid
9	CHEBI:28555	ddm	lipid
9	CHEBI:28555	11bispchlorophenyl2chloroethane	lipid
9	CHEBI:28555	ppddms	lipid
9	CHEBI:28763	bispchlorophenylmethane	lipid
9	CHEBI:28763	dipchlorophenylmethane	lipid
9	CHEBI:28763	ppdichlorodiphenylmethane	lipid
9	CHEBI:28763	1chloro44chlorobenzylbenzene	lipid
9	CHEBI:28763	ddm	lipid
9	CHEBI:28763	di4chlorophenylmethane	lipid
9	CHEBI:28763	bis4chlorophenylmethane	lipid
9	CHEBI:28763	44dichlorodiphenylmethane	lipid
9	CHEBI:32506	44methylenedianiline	lipid
9	CHEBI:32506	di4aminophenylmethane	lipid
