Synonym1	ID1	Type1	Synonym2	ID2	Type2	Source
Not needed	78010	gene product	Not needed	79818	gene product	database
Not needed	78022	gene product	Not needed	79154	gene product	database
Not needed	78030	gene product	Not needed	79859	gene product	database
Not needed	78036	gene product	Not needed	78907	gene product	database
Not needed	78040	gene product	Not needed	79278	gene product	database
Not needed	78042	gene product	Not needed	78191	gene product	database
Not needed	78046	gene product	Not needed	79773	gene product	database
Not needed	78066	gene product	Not needed	78061	gene product	database
Not needed	78066	gene product	Not needed	80618	gene product	database
Not needed	78066	gene product	Not needed	79302	gene product	database
Not needed	41693	metabolite	Not needed	78076	gene product	database
Not needed	78072	gene product	Not needed	78866	gene product	database
Not needed	78073	gene product	Not needed	78829	gene product	database
Not needed	78073	gene product	Not needed	78535	gene product	database
Not needed	78073	gene product	Not needed	78821	gene product	database
Not needed	78074	gene product	Not needed	79974	gene product	database
Not needed	78074	gene product	Not needed	82973	gene product	database
Not needed	78074	gene product	Not needed	79769	gene product	database
Not needed	78074	gene product	Not needed	80378	gene product	database
Not needed	78074	gene product	Not needed	78080	gene product	database
Not needed	78074	gene product	Not needed	83119	gene product	database
Not needed	78074	gene product	Not needed	82672	gene product	database
Not needed	78074	gene product	Not needed	82682	gene product	database
Not needed	78074	gene product	Not needed	81733	gene product	database
Not needed	78074	gene product	Not needed	79989	gene product	database
Not needed	78074	gene product	Not needed	78339	gene product	database
Not needed	78074	gene product	Not needed	78106	gene product	database
Not needed	78074	gene product	Not needed	79126	gene product	database
Not needed	78074	gene product	Not needed	79954	gene product	database
Not needed	78074	gene product	Not needed	78313	gene product	database
Not needed	78074	gene product	Not needed	80858	gene product	database
Not needed	78074	gene product	Not needed	82043	gene product	database
Not needed	78074	gene product	Not needed	82699	gene product	database
Not needed	78074	gene product	Not needed	82593	gene product	database
Not needed	78074	gene product	Not needed	79453	gene product	database
Not needed	78074	gene product	Not needed	78329	gene product	database
Not needed	78074	gene product	Not needed	82437	gene product	database
Not needed	78074	gene product	Not needed	78879	gene product	database
Not needed	78074	gene product	Not needed	78474	gene product	database
Not needed	78074	gene product	Not needed	79497	gene product	database
Not needed	78074	gene product	Not needed	79043	gene product	database
Not needed	78074	gene product	Not needed	79386	gene product	database
Not needed	78074	gene product	Not needed	80320	gene product	database
Not needed	78074	gene product	Not needed	78811	gene product	database
Not needed	78074	gene product	Not needed	30925	metabolite	database
Not needed	78074	gene product	Not needed	81136	gene product	database
Not needed	78074	gene product	Not needed	80281	gene product	database
Not needed	78074	gene product	Not needed	34297	metabolite	database
Not needed	78074	gene product	Not needed	79205	gene product	database
Not needed	78074	gene product	Not needed	78131	gene product	database
Not needed	78074	gene product	Not needed	78997	gene product	database
Not needed	78074	gene product	Not needed	79177	gene product	database
Not needed	78074	gene product	Not needed	82667	gene product	database
Not needed	78074	gene product	Not needed	79884	gene product	database
Not needed	78075	gene product	Not needed	78432	gene product	database
Not needed	78076	gene product	Not needed	78658	gene product	database
Not needed	78078	gene product	Not needed	79291	gene product	database
Not needed	78078	gene product	Not needed	79339	gene product	database
Not needed	78079	gene product	Not needed	78377	gene product	database
Not needed	78080	gene product	Not needed	80618	gene product	database
Not needed	78085	gene product	Not needed	78290	gene product	database
Not needed	78085	gene product	Not needed	78101	gene product	database
Not needed	78085	gene product	Not needed	78884	gene product	database
Not needed	78085	gene product	Not needed	79043	gene product	database
Not needed	78085	gene product	Not needed	78028	gene product	database
Not needed	78085	gene product	Not needed	78162	gene product	database
Not needed	78086	gene product	Not needed	78098	gene product	database
Not needed	78088	gene product	Not needed	79039	gene product	database
Not needed	78028	gene product	Not needed	80381	gene product	database
Not needed	78097	gene product	Not needed	80607	gene product	database
Not needed	78097	gene product	Not needed	79036	gene product	database
Not needed	78097	gene product	Not needed	82656	gene product	database
Not needed	78097	gene product	Not needed	78735	gene product	database
Not needed	78097	gene product	Not needed	79024	gene product	database
Not needed	78098	gene product	Not needed	80866	gene product	database
Not needed	78099	gene product	Not needed	78546	gene product	database
Not needed	78101	gene product	Not needed	79988	gene product	database
Not needed	78101	gene product	Not needed	81173	gene product	database
Not needed	78101	gene product	Not needed	80393	gene product	database
Not needed	78108	gene product	Not needed	79088	gene product	database
Not needed	78109	gene product	Not needed	78737	gene product	database
Not needed	78116	gene product	Not needed	84789	gene product	database
Not needed	78125	gene product	Not needed	78056	gene product	database
