paper_id,term_1,term_2,id,sentence_index,segment_length,segment
28734827,hlh30,vit1,28734827,5,157,we further show that the size and number of intestinal lipid droplets under starvation are altered in hlh30 animals which can be rescued by knockdown of vit1
28734827,hlh30,vit1,28734827,4,158,we demonstrate that premature death of hlh30 animals under starvation can be prevented by knockdown of either vit1 or vit5 encoding two different lipoproteins
28734827,vit1,vit5,28734827,4,158,we demonstrate that premature death of hlh30 animals under starvation can be prevented by knockdown of either vit1 or vit5 encoding two different lipoproteins
28734827,hlh30,vit5,28734827,4,158,we demonstrate that premature death of hlh30 animals under starvation can be prevented by knockdown of either vit1 or vit5 encoding two different lipoproteins
30796049,daf16,gas1,30796049,42,219,furthermore we found that the lifespan extension depended primarily on the transcription factor daf16foxo since daf16 age1 gas1 triple mutants lived significantly less than age1 gas1 animals fig1b and c and datasetev1
30796049,age1,gas1,30796049,128,159,pvalue001 nsnonsignificant mannwhitney utestnext we sought to identify the molecular players underlying these metabolic changes in age1 gas1 mutant animals
30796049,age1,gas1,30796049,129,109,tty acid betaoxidation and glycogen metabolism in age1 gas1 double mutants compared to gas1 animals fig3a an
30796049,ipa,age1,30796049,130,134,ion burkewitz etal 2014 hardie 2014 and with our ipa predictions we found that age1 gas1 double mutants had increased levels of phosp
30796049,ipa,gas1,30796049,130,139,ion burkewitz etal 2014 hardie 2014 and with our ipa predictions we found that age1 gas1 double mutants had increased levels of phosphoaak
30796049,age1,gas1,30796049,130,109,e 2014 and with our ipa predictions we found that age1 gas1 double mutants had increased levels of phosphoaak
30796049,aak2,age1,30796049,131,231,importantly aak2 loss of function and silencing significantly reduced the lifespan of age1 gas1 double mutants whereas overexpression of aak2 promoted the survival of gas1 mutants fig3d and e appendixfig s3a and b and datasetev1
30796049,aak2,gas1,30796049,131,231,importantly aak2 loss of function and silencing significantly reduced the lifespan of age1 gas1 double mutants whereas overexpression of aak2 promoted the survival of gas1 mutants fig3d and e appendixfig s3a and b and datasetev1
30796049,age1,gas1,30796049,131,231,importantly aak2 loss of function and silencing significantly reduced the lifespan of age1 gas1 double mutants whereas overexpression of aak2 promoted the survival of gas1 mutants fig3d and e appendixfig s3a and b and datasetev1
30796049,kin1,kin2,30796049,132,113,in celegans kin1 encodes the catalytic subunit of pka whereas kin2 encodes for the regulatory one lee etal 2016
30796049,age1,kin1,30796049,133,146,in line with the ipa prediction we found that age1 gas1 double mutants displayed an increased kin1 activity compared to gas1 mutant animals fig3f
30796049,ipa,kin1,30796049,133,146,in line with the ipa prediction we found that age1 gas1 double mutants displayed an increased kin1 activity compared to gas1 mutant animals fig3f
30796049,ipa,gas1,30796049,133,146,in line with the ipa prediction we found that age1 gas1 double mutants displayed an increased kin1 activity compared to gas1 mutant animals fig3f
30796049,gas1,kin1,30796049,133,146,in line with the ipa prediction we found that age1 gas1 double mutants displayed an increased kin1 activity compared to gas1 mutant animals fig3f
30796049,gas1,age1,30796049,125,182,legend indicates the nature of each indicated connectionleft panel glucose quantification in wt gas1 and age1 gas1 nematode lysates with nmr n7 nsnonsignificant mannwhitney utest
30796049,ipa,age1,30796049,133,146,in line with the ipa prediction we found that age1 gas1 double mutants displayed an increased kin1 activity compared to gas1 mutant animals fig3f
30796049,kin1,age1,30796049,134,165,furthermore rnaimediated downregulation of kin1 almost completely abolished the lifespan extension of age1 gas1 animals fig3g appendixfig s3c and d and datasetev1
30796049,kin1,gas1,30796049,134,165,furthermore rnaimediated downregulation of kin1 almost completely abolished the lifespan extension of age1 gas1 animals fig3g appendixfig s3c and d and datasetev1
30796049,age1,gas1,30796049,134,165,furthermore rnaimediated downregulation of kin1 almost completely abolished the lifespan extension of age1 gas1 animals fig3g appendixfig s3c and d and datasetev1
30796049,kin1,atp,30796049,135,101,moreover downregulation of aak2 and kin1 affected atp levels in age1 gas1 double mutants fig3h and i
30796049,aak2,gas1,30796049,135,101,moreover downregulation of aak2 and kin1 affected atp levels in age1 gas1 double mutants fig3h and i
30796049,age1,gas1,30796049,135,101,moreover downregulation of aak2 and kin1 affected atp levels in age1 gas1 double mutants fig3h and i
30796049,atp,gas1,30796049,135,101,moreover downregulation of aak2 and kin1 affected atp levels in age1 gas1 double mutants fig3h and i
30796049,atp,age1,30796049,135,101,moreover downregulation of aak2 and kin1 affected atp levels in age1 gas1 double mutants fig3h and i
30796049,age1,gas1,30796049,133,146,in line with the ipa prediction we found that age1 gas1 double mutants displayed an increased kin1 activity compared to gas1 mutant animals fig3f
30796049,glucose,age1,30796049,125,182,legend indicates the nature of each indicated connectionleft panel glucose quantification in wt gas1 and age1 gas1 nematode lysates with nmr n7 nsnonsignificant mannwhitney utest
30796049,age1,gas1,30796049,122,245,proteins involved in carbohydrate green and lipid blue metabolism are labeledstring analysis on dysregulated proteins in age1 gas1 versus gas1 nematodes 20 fdr log2fold change047ipa of tmtitraq scan results and prediction of downstream effects
30796049,aak2,age1,30796049,135,101,moreover downregulation of aak2 and kin1 affected atp levels in age1 gas1 double mutants fig3h and i
30796049,age1,gas1,30796049,97,166,we observed a significant reduction in total carbohydrates however there were no differences in glucose levels between age1 gas1 mutant and gas1 mutant animals fig2h
30796049,age1,gas1,30796049,99,218,in age1 gas1 compared to gas1 mutant animals we found that fatty acid oxidation gluconeogenesis and glycolysis were all upregulated whereas glycogen turnover ie lysis and synthesis was highly enhanced appendixfig s2b
30796049,aagr1,age1,30796049,101,142, in carbohydrate metabolism the alphaglucosidases aagr1 and aagr2 were upregulated on mrna level in age1 gas1 compared to gas1 appendixfig s2
