"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Protein–Protein Interaction Networks Derived from Classical and Machine Learning-Based Natural Language Processing Tools","Degnan, David J.; Strauch, Clayton W.; Obiri, Moses Y.; VonKaenel, Erik D.; Kim, Grace S.; Kershaw, James D.; Novelli, David L.; Pazdernik, Karl T. L.; Bramer, Lisa M.","natural language processing; relationship extraction; biological text mining; machine learning; large language models; BERT; GPT; LLM","The study of protein-protein interactions (PPIs) provides insight into various biological mechanisms, including the binding of antibodies to antigens, enzymes to inhibitors or promoters, and receptors to ligands. Recent studies of PPIs have led to significant biological breakthroughs. For example, the study of PPIs involved in the human:SARS-CoV-2 viral infection mechanism aided in the development of the SARS-CoV-2 vaccines. Though several databases exist for the manual curation of PPI networks, text mining methods have been routinely demonstrated as useful alternatives for newly studied or understudied species where databases are incomplete. Here, the relationship extraction (RE) performance of several open-source classical text processing, machine learning (ML)-based natural language processing (NLP), and large language model (LLM)-based NLP tools were compared. Overall, our results indicated that networks derived from classical methods tend to have high true positive rates at the expense of having overconnected-networks, ML-based NLP methods have lower true positive rates but networks with the closest structures to the target network, and LLM-based NLP methods tend to exist in-between the two other approaches, with variable performances. Finally, the selection of a specific NLP approach should be tied to the needs of a study and text availability, as models varied in performance due to the amount of text provided.","American Chemical Society (ACS)","","Pacific Northwest National Laboratory (PNNL), Richland, WA (United States)","USDOE Laboratory Directed Research and Development (LDRD) Program","","United States","2024-11-11T05:00:00Z","English","Journal Article","","Journal Name: Journal of Proteome Research; Journal Volume: 23; Journal Issue: 12","","Medium: ED; Size: p. 5395-5404","","PNNL-SA-199871","AC05-76RL01830","Journal ID: ISSN 1535-3893","10.1021/acs.jproteome.4c00535","","2025-01-07T05:00:00Z","2483344","https://www.osti.gov/biblio/2483344","","Journal of Proteome Research","12","23"
"Changes of Protein Turnover in Aging <em>Caenorhabditis elegans<\/em>","Dhondt, Ineke; Petyuk, Vladislav A.; Bauer, Sophie; Brewer, Heather M.; Smith, Richard D.; Depuydt, Geert; Braeckman, Bart P.","59 BASIC BIOLOGICAL SCIENCES","Protein turnover rates severely decline in aging organisms, including C. elegans. However, limited information is available on turnover dynamics at the individual protein level during aging. Here, we followed changes in protein turnover at one-day resolution using a multiple-pulse <sup>15</sup>N-labeling and accurate mass spectrometry approach. Forty percent of the proteome shows gradual slowdown in turnover with age, whereas only few proteins show increased turnover. Decrease in protein turnover was consistent for only a minority of functionally related protein subsets, including tubulins and vitellogenins, whereas randomly diverging turnover patterns with age were the norm. Our data suggests increased heterogeneity of protein turnover of the translation machinery, whereas protein turnover of ubiquitin-proteasome and antioxidant systems are well-preserved over time. Hence, we presume that maintenance of quality control mechanisms is a protective strategy in aging worms, although the ultimate proteome collapse is inescapable.","American Society for Biochemistry and Molecular Biology","","Pacific Northwest National Laboratory (PNNL), Richland, WA (United States)","USDOE; National Institutes of Health (NIH); Scientific Research-Flanders, Belgium","","United States","2017-07-05T04:00:00Z","English","Journal Article","","Journal Name: Molecular and Cellular Proteomics; Journal Volume: 16; Journal Issue: 9","","Medium: ED; Size: p. 1621-1633","","PNNL-SA-129634","AC05-76RL01830; AC05–76RL0 1830","Journal ID: ISSN 1535-9476; 49531; 453040220","10.1074/mcp.RA117.000049","","2021-07-26T04:00:00Z","1766333","https://www.osti.gov/biblio/1766333","","Molecular and Cellular Proteomics","9","16"
"Lipidomic and proteomic analysis of Caenorhabditis elegans lipid droplets and identification of ACS-4 as a lipid droplet-associated protein","Vrablik, Tracy L.; Petyuk, Vladislav A.; Larson, Emily M.; Smith, Richard D.; Watts, Jennifer L.","59 BASIC BIOLOGICAL SCIENCES; C. elegans; Lipid droplets; DAF-2; Lipidomics; Proteomics","Lipid droplets are cytoplasmic organelles that store neutral lipids for membrane synthesis and energy reserves. In this study, we characterized the lipid and protein composition of purified Caenorhabditis elegans lipid droplets. These lipid droplets are composed mainly of triacylglycerols, surrounded by a phospholipid monolayer composed primarily of phosphatidylcholine and phosphatidylethanolamine. The fatty acid composition of the triacylglycerols is rich in fatty acid species obtained from the dietary Escherichia coli, including cyclopropane fatty acids and cis-vaccenic acid. Unlike other organisms, C. elegans lipid droplets contain very little cholesterol or cholesterol esters. Comparison of the lipid droplet proteomes of wild type and high-fat daf-2 mutant strains shows a very similar proteome in both strains, except that the most abundant protein in the C. elegans lipid droplet proteome, MDT-28, is relatively less abundant in lipid droplets isolated from daf-2 mutants. Functional analysis of lipid droplet proteins identified in our proteomic studies indicated an enrichment of proteins required for growth and fat homeostasis in C. elegans. Finally, we confirmed the localization of one of the newly identified lipid droplet proteins, ACS-4. We found that ACS-4 localizes to the surface of lipid droplets in the C. elegans intestine and skin. This study bolsters C. elegans as a model to study the dynamics and functions of lipid droplets in a multicellular organism.","Elsevier","","Pacific Northwest National Laboratory (PNNL), Richland, WA (United States)","USDOE","","Netherlands","2015-10-01T04:00:00Z","English","Journal Article","","Journal Name: Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids Journal Volume: 1851 Journal Issue: 10","","Medium: X; Size: p. 1337-1345","","","AC05-76RL0 1830; P40 OD010440; R01 DK74114; P41 GM103493; AC05-76RL01830","Journal ID: ISSN 1388-1981; S1388198115001250; PII: S1388198115001250","10.1016/j.bbalip.2015.06.004","","2021-07-12T04:00:00Z","1198576","https://www.osti.gov/biblio/1198576","","Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids","10","1851"
"Lipidomic and proteomic analysis of Caenorhabditis elegans lipid droplets and identification of ACS-4 as a lipid droplet-associated protein","Vrablik, Tracy L.; Petyuk, Vladislav A.; Larson, Emily M.; Smith, Richard D.; Watts, Jennifer","59 BASIC BIOLOGICAL SCIENCES; Environmental Molecular Sciences Laboratory","Lipid droplets are cytoplasmic organelles that store neutral lipids for membrane synthesis and energy reserves. In this study, we characterized the lipid and protein composition of purified C. elegans lipid droplets. These lipid droplets are composed mainly of triacylglycerols, surrounded by a phospholipid monolayer composed primarily of phosphatidylcholine and phosphatidylethanolamine. The fatty acid composition of the triacylglycerols was rich in fatty acid species obtained from the dietary E. coli, including cyclopropane fatty acids and cis-vaccenic acid. Unlike other organisms, C. elegans lipid droplets contain very little cholesterol or cholesterol esters. Comparison of the lipid droplet proteomes of wild type and high-fat daf-2 mutant strains shows a relative decrease of MDT-28 abundance in lipid droplets isolated from daf-2 mutants. Functional analysis of lipid droplet proteins identified in our proteomic studies indicated an enrichment of proteins required for growth and fat homeostasis in C. elegans.","","","Pacific Northwest National Laboratory (PNNL), Richland, WA (United States). Environmental Molecular Sciences Laboratory (EMSL)","USDOE","","United States","2015-06-27T04:00:00Z","English","Journal Article","","Journal Name: Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids; Journal Volume: 1851; Journal Issue: 10","","Medium: X; Size: p. 1337-1345","","PNNL-SA-108157","AC05-76RL01830","Journal ID: ISSN 1388-1981; 48135; 400412000","10.1016/j.bbalip.2015.06.004","","2023-06-26T04:00:00Z","1243278","https://www.osti.gov/biblio/1243278","","Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids","10","1851"
"<em>Caenorhabditis elegans<\/em> Dicer acts with the RIG-I-like helicase DRH-1 and RDE-4 to cleave dsRNA","Consalvo, Claudia D.; Aderounmu, Adedeji M.; Donelick, Helen M.; Aruscavage, P. Joseph; Eckert, Debra M.; Shen, Peter S.; Bass, Brenda L.","59 BASIC BIOLOGICAL SCIENCES; Life Sciences & Biomedicine - Other Topics","Invertebrates use the endoribonuclease Dicer to cleave viral dsRNA during antiviral defense, while vertebrates use RIG-I-like Receptors (RLRs), which bind viral dsRNA to trigger an interferon response. While some invertebrate Dicers act alone during antiviral defense, Caenorhabditis elegans Dicer acts in a complex with a dsRNA binding protein called RDE-4, and an RLR ortholog called DRH-1. We used biochemical and structural techniques to provide mechanistic insight into how these proteins function together. We found RDE-4 is important for ATP-independent and ATP-dependent cleavage reactions, while helicase domains of both DCR-1 and DRH-1 contribute to ATP-dependent cleavage. DRH-1 plays the dominant role in ATP hydrolysis, and like mammalian RLRs, has an N-terminal domain that functions in autoinhibition. A cryo-EM structure indicates DRH-1 interacts with DCR-1’s helicase domain, suggesting this interaction relieves autoinhibition. Our study unravels the mechanistic basis of the collaboration between two helicases from typically distinct innate immune defense pathways.","eLife Sciences Publications, Ltd.","","Pacific Northwest National Laboratory (PNNL), Richland, WA (United States). Environmental Molecular Sciences Laboratory (EMSL)","USDOE Office of Science (SC), Biological and Environmental Research (BER); USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities (SUF); Simons Foundation; National Institutes of Health (NIH)","","United States","2024-05-15T04:00:00Z","English","Journal Article","","Journal Name: eLife; Journal Volume: 13","","Medium: ED; Size: Article No. RP93979","","","AC05-76RL01830; SF349247; S10OD026959; U24GM129547; U24 GM129539; T32AI055434; R35GM141262; R01CA260414; R35GM133772","Journal ID: ISSN 2050-084X","10.7554/elife.93979","","2025-04-29T04:00:00Z","2471633","https://www.osti.gov/biblio/2471633","https://www.osti.gov/servlets/purl/2471633","eLife","","13"
"Nitrous oxide production via enzymatic nitroxyl from the nitrifying archaeon\n <i>Nitrosopumilus maritimus<\/i>","Voland, Robert W. (ORCID:0000000201061257); Wang, Hongsen (ORCID:0000000179262895); Abruña, Héctor D. (ORCID:000000023948356X); Lancaster, Kyle M. (ORCID:000000017296128X)","","<p> Ammonia oxidizing archaea (AOA) are among the most abundant microorganisms on earth and are known to be a major source of nitrous oxide (N <sub>2</sub> O) emissions, although biochemical origins of this N <sub>2</sub> O remain unknown. Enzymological details of AOA nitrogen metabolism are broadly unavailable. We report the recombinant expression, purification, and characterization of a multicopper oxidase, Nmar_1354, from the AOA <italic>Nitrosopumilus maritimus</italic> . We show that Nmar_1354 selectively produces nitroxyl (HNO) by coupling the oxidation of the obligate nitrification intermediate hydroxylamine (NH <sub>2</sub> OH) to dioxygen (O <sub>2</sub> ) reduction. This HNO undergoes several downstream reactions, although the major fates are production of N <sub>2</sub> via reaction with NH <sub>2</sub> OH and dimerization with itself to yield N <sub>2</sub> O. These results afford one plausible enzymatic origin for N <sub>2</sub> O release by AOA. Moreover, these results reveal a physiologically relevant enzymatic reaction for producing HNO, an enigmatic nitrogen oxide speculated to be operative in cellular signaling and in energy transduction. </p>","Proceedings of the National Academy of Sciences","","","USDOE","","United States","2025-01-17T05:00:00Z","English","Journal Article","","Journal Name: Proceedings of the National Academy of Sciences of the United States of America Journal Volume: 122 Journal Issue: 3","","Medium: X","","","AC02-06CH11357","Journal ID: ISSN 0027-8424; e2416971122","10.1073/pnas.2416971122","","2025-01-21T05:00:00Z","2503518","https://www.osti.gov/biblio/2503518","","Proceedings of the National Academy of Sciences of the United States of America","3","122"
"Familial Alzheimer mutations stabilize synaptotoxic γ-secretase-substrate complexes","Devkota, Sujan; Zhou, Rui; Nagarajan, Vaishnavi; Maesako, Masato; Do, Hung; Noorani, Arshad; Overmeyer, Caitlin; Bhattarai, Sanjay; Douglas, Justin T.; Saraf, Anita; Miao, Yinglong; Ackley, Brian D.; Shi, Yigong; Wolfe, Michael S.","59 BASIC BIOLOGICAL SCIENCES; Cell Biology; C. elegans; CP: Molecular biology; CP: Neuroscience; cryoelectron microscopy; fluorescence microscopy; molecular dynamics; neurodegeneration; protein structure; proteolysis","Mutations that cause familial Alzheimer’s disease (FAD) are found in amyloid precursor protein (APP) and presenilin, the catalytic component of γ-secretase, that together produce amyloid β-peptide (Aβ). Nevertheless, whether Aβ is the primary disease driver remains controversial. We report here that FAD mutations disrupt initial proteolytic events in the multistep processing of APP substrate C99 by γ-secretase. Cryoelectron microscopy reveals that a substrate mimetic traps γ-secretase during the transition state, and this structure aligns with activated enzyme-substrate complex captured by molecular dynamics simulations. In silico simulations and in cellulo fluorescence microscopy support stabilization of enzyme-substrate complexes by FAD mutations. Neuronal expression of C99 and/or presenilin-1 in Caenorhabditis elegans leads to synaptic loss only with FAD-mutant transgenes. Designed mutations that stabilize the enzyme-substrate complex and block Aβ production likewise led to synaptic loss. Collectively, these findings implicate the stalled process—not the products—of γ-secretase cleavage of substrates in FAD pathogenesis.","Elsevier","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States). National Energy Research Scientific Computing Center (NERSC)","USDOE; National Institutes of Health (NIH); National Natural Science Foundation of China (NSFC); Ministry of Science and Technology of the People's Republic of China; Key R&D Program of Zhejiang Province; National Science Foundation (NSF); ACCESS","","United States","2024-02-13T05:00:00Z","English","Journal Article","","Journal Name: Cell Reports; Journal Volume: 43; Journal Issue: 2","","Medium: ED; Size: Article No. 113761","","","AC02-05CH11231; GM122894; AG66986; AG79569; MRI-2117449; TG-MCB180049; 2121063; P30 AG072973; 81920108015; 2020YFA0509300; 2020C04001","Journal ID: ISSN 2211-1247; PII: S2211124724000895","10.1016/j.celrep.2024.113761","","2025-04-10T04:00:00Z","2471152","https://www.osti.gov/biblio/2471152","https://www.osti.gov/servlets/purl/2471152","Cell Reports","2","43"
"A cobalamin-dependent pathway of choline demethylation from the human gut acetogen Eubacterium limosum","Jiang, Ruisheng; Kountz, Duncan J.; Zhang, Liwen; Krzycki, Joseph A. (ORCID:0000000185097056)","","","Elsevier","","","USDOE","","United States","2025-04-01T04:00:00Z","English","Journal Article","","Journal Name: Journal of Biological Chemistry","","Medium: X; Size: Article No. 108524","","","FG02-91ER20042","Journal ID: ISSN 0021-9258; S0021925825003734; 108524; PII: S0021925825003734","10.1016/j.jbc.2025.108524","","2025-04-25T04:00:00Z","2562193","https://www.osti.gov/biblio/2562193","","Journal of Biological Chemistry","",""
"Intra- and inter-molecular regulation by intrinsically-disordered regions governs PUF protein RNA binding","Qiu, Chen; Zhang, Zihan; Wine, Robert N.; Campbell, Zachary T.; Zhang, Jun; Hall, Traci M. Tanaka","59 BASIC BIOLOGICAL SCIENCES; Science & Technology; Intrinsically disordered proteins; RNA; Self-renewal; X-ray crystallography","PUF proteins are characterized by globular RNA-binding domains. They also interact with partner proteins that modulate their RNA-binding activities. Caenorhabditis elegans PUF protein fem-3 binding factor-2 (FBF-2) partners with intrinsically disordered Lateral Signaling Target-1 (LST-1) to regulate target mRNAs in germline stem cells. Here, we report that an intrinsically disordered region (IDR) at the C-terminus of FBF-2 autoinhibits its RNA-binding affinity by increasing the off rate for RNA binding. Moreover, the FBF-2 C-terminal region interacts with its globular RNA-binding domain at the same site where LST-1 binds. This intramolecular interaction restrains an electronegative cluster of amino acid residues near the 5' end of the bound RNA to inhibit RNA binding. LST-1 binding in place of the FBF-2 C-terminus therefore releases autoinhibition and increases RNA-binding affinity. This regulatory mechanism, driven by IDRs, provides a biochemical and biophysical explanation for the interdependence of FBF-2 and LST-1 in germline stem cell self-renewal.","Nature Publishing Group","","Argonne National Laboratory (ANL), Argonne, IL (United States). Advanced Photon Source (APS)","USDOE Office of Science (SC), Basic Energy Sciences (BES); National Institutes of Health (NIH); National Institute of Environmental Health Sciences","","United States","2023-11-13T05:00:00Z","English","Journal Article","","Journal Name: Nature Communications; Journal Volume: 14; Journal Issue: 1","","Medium: ED; Size: Article No. 7323","","","AC02-06CH11357; S10_RR25528; S10_RR028976; S10_OD027000; W-31-109-Eng-38; ZIA-ES050165; R01NS114018; R35GM147091","Journal ID: ISSN 2041-1723; PII: 43098","10.1038/s41467-023-43098-1","","2025-03-17T04:00:00Z","2470224","https://www.osti.gov/biblio/2470224","https://www.osti.gov/servlets/purl/2470224","Nature Communications","1","14"
"Structural insights into the formation of repulsive netrin guidance complexes","Priest, Jessica M.; Nichols, Ev L.; Smock, Robert G.; Hopkins, Jesse B.; Mendoza, Juan L.; Meijers, Rob; Shen, Kang; Özkan, Engin","59 BASIC BIOLOGICAL SCIENCES; Science & Technology","Netrins dictate attractive and repulsive responses during axon growth and cell migration, where the presence of the receptor Uncoordinated-5 (UNC-5) on target cells results in repulsion. Here, we showed that UNC-5 is a heparin-binding protein, determined its structure bound to a heparin fragment, and could modulate UNC-5–heparin affinity using a directed evolution platform or structure-based rational design. We demonstrated that UNC-5 and UNC-6/netrin form a large, stable, and rigid complex in the presence of heparin, and heparin and UNC-5 exclude the attractive UNC-40/DCC receptor from binding to UNC-6/netrin to a large extent. Caenorhabditis elegans with a heparin-binding–deficient UNC-5 fail to establish proper gonad morphology due to abrogated cell migration, which relies on repulsive UNC-5 signaling in response to UNC-6. Combining UNC-5 mutations targeting heparin and UNC-6/netrin contacts results in complete cell migration and axon guidance defects. Our findings establish repulsive netrin responses to be mediated through a glycosaminoglycan-regulated macromolecular complex.","AAAS","","Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA (United States). Advanced Light Source (ALS)","USDOE Office of Science (SC), Basic Energy Sciences (BES). Scientific User Facilities (SUF); National Institutes of Health (NIH); National Science Foundation (NSF); H2020 European Research Council; National Institute of General Medical Sciences (NIGMS); National Cancer Institute (NCI)","","United States","2024-02-16T05:00:00Z","English","Journal Article","","Journal Name: Science Advances; Journal Volume: 10; Journal Issue: 7","","Medium: ED; Size: Article No. eadj8083","","","AC02-05CH11231; AC02-06CH11357; S10OD021527; P30 GM124165; ACB-12002; AGM-12006; P30 GM138396; P30 GM138395; R01 NS097161; T32 GM138826; R35 GM147179; DGE-1656518; MCSA-IF 702346","Journal ID: ISSN 2375-2548","10.1126/sciadv.adj8083","","2025-03-27T04:00:00Z","2471051","https://www.osti.gov/biblio/2471051","https://www.osti.gov/servlets/purl/2471051","Science Advances","7","10"
