PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34321666","Rewiring of the ubiquitinated proteome determines ageing in C. elegans","Koyuncu S, Loureiro R, Lee HJ, Wagle P, Krueger M, Vilchez D.","Nature. 2021 Aug;596(7871):285-290. doi: 10.1038/s41586-021-03781-z. Epub 2021 Jul 28.","Koyuncu S","Nature","2021","2021/07/29","PMC8357631","","10.1038/s41586-021-03781-z"
"38418585","Enhanced branched-chain amino acid metabolism improves age-related reproduction in C. elegans","Lesnik C, Kaletsky R, Ashraf JM, Sohrabi S, Cota V, Sengupta T, Keyes W, Luo S, Murphy CT.","Nat Metab. 2024 Apr;6(4):724-740. doi: 10.1038/s42255-024-00996-y. Epub 2024 Feb 28.","Lesnik C","Nat Metab","2024","2024/02/28","","","10.1038/s42255-024-00996-y"
"39504959","Organ-specific electrophile responsivity mapping in live C. elegans","Liu J, Kulkarni A, Gao YQ, Urul DA, Hamelin R, Novotny BÁ, Long MJC, Aye Y.","Cell. 2024 Dec 26;187(26):7450-7469.e29. doi: 10.1016/j.cell.2024.10.014. Epub 2024 Nov 5.","Liu J","Cell","2024","2024/11/06","","","10.1016/j.cell.2024.10.014"
"36012346","Exposome, Molecular Pathways and One Health: The Invertebrate Caenorhabditis elegans","von Mikecz A.","Int J Mol Sci. 2022 Aug 13;23(16):9084. doi: 10.3390/ijms23169084.","von Mikecz A","Int J Mol Sci","2022","2022/08/26","PMC9409025","","10.3390/ijms23169084"
"38861598","Single-tissue proteomics in Caenorhabditis elegans reveals proteins resident in intestinal lysosome-related organelles","Tan CH, Wang TY, Park H, Lomenick B, Chou TF, Sternberg PW.","Proc Natl Acad Sci U S A. 2024 Jun 18;121(25):e2322588121. doi: 10.1073/pnas.2322588121. Epub 2024 Jun 11.","Tan CH","Proc Natl Acad Sci U S A","2024","2024/06/11","PMC11194598","","10.1073/pnas.2322588121"
"39223373","Noncanonical inheritance of phenotypic information by protein amyloids","Eroglu M, Zocher T, McAuley J, Webster R, Xiao MZX, Yu B, Mok C, Derry WB.","Nat Cell Biol. 2024 Oct;26(10):1712-1724. doi: 10.1038/s41556-024-01494-9. Epub 2024 Sep 2.","Eroglu M","Nat Cell Biol","2024","2024/09/02","","","10.1038/s41556-024-01494-9"
"18372286","Proteomics in Caenorhabditis elegans","Audhya A, Desai A.","Brief Funct Genomic Proteomic. 2008 May;7(3):205-10. doi: 10.1093/bfgp/eln014. Epub 2008 Mar 27.","Audhya A","Brief Funct Genomic Proteomic","2008","2008/03/29","","","10.1093/bfgp/eln014"
"16901202","C. elegans: an invaluable model organism for the proteomics studies of the cholesterol-mediated signaling pathway","Paik YK, Jeong SK, Lee EY, Jeong PY, Shim YH.","Expert Rev Proteomics. 2006 Aug;3(4):439-53. doi: 10.1586/14789450.3.4.439.","Paik YK","Expert Rev Proteomics","2006","2006/08/12","","","10.1586/14789450.3.4.439"
"26585491","Proteomics applications in Caenorhabditis elegans research","Husson SJ, Moyson S, Valkenborg D, Baggerman G, Mertens I.","Biochem Biophys Res Commun. 2015 Dec 25;468(4):519-24. doi: 10.1016/j.bbrc.2015.11.026. Epub 2015 Nov 14.","Husson SJ","Biochem Biophys Res Commun","2015","2015/11/21","","","10.1016/j.bbrc.2015.11.026"
"23458457","Optogenetic manipulation of neural activity in C. elegans: from synapse to circuits and behaviour","Husson SJ, Gottschalk A, Leifer AM.","Biol Cell. 2013 Jun;105(6):235-50. doi: 10.1111/boc.201200069. Epub 2013 Apr 26.","Husson SJ","Biol Cell","2013","2013/03/06","","","10.1111/boc.201200069"
"34028439","Culture and Assay of Large-Scale Mixed-Stage Caenorhabditis elegans Populations","Shaver AO, Gouveia GJ, Kirby PS, Andersen EC, Edison AS.","J Vis Exp. 2021 May 5;(171):10.3791/61453. doi: 10.3791/61453.","Shaver AO","J Vis Exp","2021","2021/05/24","PMC12042146","NIHMS1792604","10.3791/61453"
"24967700","Mass spectrometry-based shotgun proteomic analysis of C. elegans protein complexes","Fonslow BR, Moresco JJ, Tu PG, Aalto AP, Pasquinelli AE, Dillin AG, Yates JR 3rd.","WormBook. 2014 Jun 24:1-18. doi: 10.1895/wormbook.1.171.1.","Fonslow BR","WormBook","2014","2014/06/27","PMC4716738","NIHMS746411","10.1895/wormbook.1.171.1"
"28860630","An oxytocin-dependent social interaction between larvae and adult C. elegans","Scott E, Hudson A, Feist E, Calahorro F, Dillon J, de Freitas R, Wand M, Schoofs L, O'Connor V, Holden-Dye L.","Sci Rep. 2017 Aug 31;7(1):10122. doi: 10.1038/s41598-017-09350-7.","Scott E","Sci Rep","2017","2017/09/02","PMC5579267","","10.1038/s41598-017-09350-7"
