Abstract	Author	Author Hierarchy	Bookmarks	Cited By Count	Country	DatasetIds	DOI	Funding Details	Id	Keywords	Link	Organization	OriginId	Publication Name	Publication Type	Published	Published Year	Title	Cluster Label	Collection Date	Collection Group	Collection Label	Collection Owner	Comment Author	Comment Date	Comment Id	Comment Text
	Christopher N Larsen|Hailin Wang			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1021/pr025522n		668da6b6393fbc602a7f3f71	Animals|Databases as Topic|Down-Regulation|Escherichia coli|Humans|NEDD8 Protein|Phylogeny|Protein Processing, Post-Translational|Protein Structure, Tertiary|SUMO-1 Protein|Saccharomyces cerevisiae|Signal Transduction|Ubiquitin|Ubiquitins|Up-Regulation	https://pubmed.ncbi.nlm.nih.gov/12645912		12645912	Journal of proteome research	Journal Article	2002-01-01T00:00:00Z	2002	The ubiquitin superfamily: members, features, and phylogenies.									
	Karin Dürrschmid|Gorji Marzban|Eberhard Dürrschmid|Gerald Striedner|Franz Clementschitsch|Monika Cserjan-Puschmann|Karl Bayer			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1002/elps.200390027		668da6b6393fbc602a7f3f72	Databases, Protein|Electrophoresis, Gel, Two-Dimensional|Escherichia coli|Fermentation|Heat-Shock Proteins|Humans|In Vitro Techniques|Peptide Mapping|Proteome|Recombinant Proteins|Superoxide Dismutase	https://pubmed.ncbi.nlm.nih.gov/12652602		12652602	Electrophoresis	Journal Article,Research Support, Non-U.S. Gov't	2003-01-01T00:00:00Z	2003	Monitoring of protein profiles for the optimization of recombinant fermentation processes using public domain databases.									
	L Peng|K Shimizu			0	Germany	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1007/s00253-002-1202-6		668da6b6393fbc602a7f3f73	Electrophoresis, Gel, Two-Dimensional|Escherichia coli|Escherichia coli Proteins|Gene Expression Profiling|Gene Expression Regulation, Bacterial|Proteome	https://pubmed.ncbi.nlm.nih.gov/12655459		12655459	Applied microbiology and biotechnology	Comparative Study,Journal Article,Research Support, Non-U.S. Gov't	2003-04-01T00:00:00Z	2003	Global metabolic regulation analysis for Escherichia coli K12 based on protein expression by 2-dimensional electrophoresis and enzyme activity measurement.									
	Kris Gevaert|Marc Goethals|Lennart Martens|Jozef Van Damme|An Staes|Grégoire R Thomas|Joël Vandekerckhove			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1038/nbt810		668da6b6393fbc602a7f3f74	Blood Platelets|Cell Membrane|Cytosol|Humans|Mass Spectrometry|Peptides|Proteome	https://pubmed.ncbi.nlm.nih.gov/12665801		12665801	Nature biotechnology	Evaluation Study,Research Support, Non-U.S. Gov't,Technical Report	2003-05-01T00:00:00Z	2003	Exploring proteomes and analyzing protein processing by mass spectrometric identification of sorted N-terminal peptides.									
	Julia M Flynn|Saskia B Neher|Yong In Kim|Robert T Sauer|Tania A Baker			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1016/s1097-2765(03)00060-1		668da6b6393fbc602a7f3f75	ATPases Associated with Diverse Cellular Activities|Adenosine Triphosphatases|Amino Acid Motifs|Amino Acid Sequence|Blotting, Western|Electrophoresis, Gel, Two-Dimensional|Electrophoresis, Polyacrylamide Gel|Endopeptidase Clp|Escherichia coli|Escherichia coli Proteins|Gene Deletion|Mass Spectrometry|Molecular Chaperones|Molecular Sequence Data|Oxidative Stress|Peptides|Plasmids|Protein Binding|Protein Structure, Tertiary|Recombinant Fusion Proteins|Sequence Homology, Amino Acid|Serine Endopeptidases|Time Factors	https://pubmed.ncbi.nlm.nih.gov/12667450		12667450	Molecular cell	Journal Article,Research Support, U.S. Gov't, P.H.S.	2003-03-01T00:00:00Z	2003	Proteomic discovery of cellular substrates of the ClpXP protease reveals five classes of ClpX-recognition signals.									
	Vaida Seputiene|Domantas Motiejūnas|Kestutis Suziedelis|Henrik Tomenius|Staffan Normark|Ojar Melefors|Edita Suziedeliene			41	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1128/JB.185.8.2475-2484.2003		668da6b6393fbc602a7f3f76	Amino Acid Sequence|Cloning, Molecular|Culture Media|Enterobacteriaceae|Escherichia coli|Escherichia coli Proteins|Hydrogen-Ion Concentration|Molecular Sequence Data|Molecular Weight|Mutation|Peptides|Periplasm|Protein Precursors|Sequence Alignment	https://pubmed.ncbi.nlm.nih.gov/12670971		12670971	Journal of bacteriology	Comparative Study,Journal Article,Research Support, Non-U.S. Gov't	2003-04-01T00:00:00Z	2003	Molecular characterization of the acid-inducible asr gene of Escherichia coli and its role in acid stress response.									
	Francis Biville|Taku Oshima|Hirotada Mori|Yuya Kawagoe|Odile Bouvet|Marie-Noëlle Rager|Marina Perrotte-Piquemal|Antoine Danchin			0	Switzerland	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1159/000068722		668da6b6393fbc602a7f3f77	Culture Media|Cyclic AMP|Diphosphates|Diphosphonates|Escherichia coli|Escherichia coli Proteins|Gene Expression Profiling|Gene Expression Regulation, Bacterial|Iron|Oligonucleotide Array Sequence Analysis|Proteome|Transcription, Genetic	https://pubmed.ncbi.nlm.nih.gov/12673060		12673060	Journal of molecular microbiology and biotechnology	Journal Article,Research Support, Non-U.S. Gov't	2003-01-01T00:00:00Z	2003	Escherichia coli response to exogenous pyrophosphate and analogs.									
	Magaly de Chial|Bart Ghysels|Scott A Beatson|Valérie Geoffroy|Jean Marie Meyer|Theresa Pattery|Christine Baysse|Patrice Chablain|Yasmin N Parsons|Craig Winstanley|Stuart J Cordwell|Pierre Cornelis			0	England	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1099/mic.0.26136-0		668da6b6393fbc602a7f3f78	Amino Acid Sequence|Bacterial Outer Membrane Proteins|Culture Media|Cystic Fibrosis|Ethylenediamines|Genetic Complementation Test|Humans|Iron|Molecular Sequence Data|Mutation|Oligopeptides|Pigments, Biological|Pseudomonas Infections|Pseudomonas aeruginosa|Pyocins|Receptors, Cell Surface|Sequence Analysis, DNA	https://pubmed.ncbi.nlm.nih.gov/12686625		12686625	Microbiology (Reading, England)	Journal Article,Research Support, Non-U.S. Gov't	2003-04-01T00:00:00Z	2003	Identification of type II and type III pyoverdine receptors from Pseudomonas aeruginosa.									
	Celia W Goulding|L Jeanne Perry			0	United States	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1016/s1047-8477(03)00044-3		668da6b6393fbc602a7f3f79	Cloning, Molecular|Crystallography, X-Ray|Escherichia coli|Protein Biosynthesis|Protein Conformation|Proteins	https://pubmed.ncbi.nlm.nih.gov/12718925		12718925	Journal of structural biology	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,Research Support, U.S. Gov't, P.H.S.,Review	2003-04-01T00:00:00Z	2003	Protein production in Escherichia coli for structural studies by X-ray crystallography.									
	María Del Carmen Vargas|Sergio Encarnación|Araceli Dávalos|Agustín Reyes-Pérez|Yolanda Mora|Alejandro García-de Los Santos|Susana Brom|Jaime Mora			0	England	3ca7ede1-93e8-4fdd-98ff-e89a263c1243	10.1099/mic.0.25909-0		668da6b6393fbc602a7f3f7a	Amino Acid Sequence|Bacterial Proteins|Catalase|DNA-Binding Proteins|Gene Expression Regulation, Bacterial|Hydrogen Peroxide|Molecular Sequence Data|Nitrogen Fixation|Phaseolus|Plasmids|Replicon|Repressor Proteins|Rhizobium|Sequence Analysis, DNA|Symbiosis|Transcription Factors	https://pubmed.ncbi.nlm.nih.gov/12724378		12724378	Microbiology (Reading, England)	Journal Article,Research Support, Non-U.S. Gov't	2003-05-01T00:00:00Z	2003	Only one catalase, katG, is detectable in Rhizobium etli, and is encoded along with the regulator OxyR on a plasmid replicon.									
