Abstract	Author	Author Hierarchy	Bookmarks	Cited By Count	Country	DatasetIds	DOI	Funding Details	Id	Keywords	Link	Organization	OriginId	Publication Name	Publication Type	Published	Published Year	Title	Cluster Label	Collection Date	Collection Group	Collection Label	Collection Owner	Comment Author	Comment Date	Comment Id	Comment Text
Citrullination is a post-translational modification (PTM) of arginine that is crucial for several physiological processes, including gene regulation and neutrophil extracellular trap formation. Despite recent advances, studies of protein citrullination remain challenging due to the difficulty of accessing proteins homogeneously citrullinated at a specific site. Herein, we report a technology that enables the site-specific incorporation of citrulline (Cit) into proteins in mammalian cells. This approach exploits an engineered E. coli-derived leucyl tRNA synthetase-tRNA pair that incorporates a photocaged-citrulline (SM60) into proteins in response to a nonsense codon. Subsequently, SM60 is readily converted to Cit with light in vitro and in living cells. To demonstrate the utility of the method, we biochemically characterize the effect of incorporating Cit at two known autocitrullination sites in Protein Arginine Deiminase 4 (PAD4, R372 and R374) and show that the R372Cit and R374Cit mutants are 181- and 9-fold less active than the wild-type enzyme. This technology possesses the potential to decipher the biology of citrullination.	Mondal S.|Wang S.|Zheng Y.|Sen S.|Chatterjee A.|Thompson P.R.	United States/Boston College/Wang S.|United States/Boston College/Zheng Y.|United States/Boston College/Chatterjee A.|United States/University of Massachusetts Chan Medical School/Mondal S.|United States/University of Massachusetts Chan Medical School/Sen S.|United States/University of Massachusetts Chan Medical School/Thompson P.R.			United States	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41467-020-20279-w	National Institutes of Health	668daa27393fbc602a7f6ac8		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098664657&origin=inward	Boston College|University of Massachusetts Chan Medical School	2-s2.0-85098664657	Nature Communications	Journal	2021-12-01T00:00:00Z	2021	Site-specific incorporation of citrulline into proteins in mammalian cells									
Francisella tularensis is one of the most virulent pathogenic bacteria causing the acute human respiratory disease tularemia. While the mechanisms underlying F. tularensis pathogenesis are largely unknown, previous studies have shown that a F. novicida transposon mutant with insertions in a gene coding for a putative lysine decarboxylase was attenuated in mouse spleen, suggesting a possible role of its protein product as a virulence factor. Therefore, we set out to structurally and functionally characterize the F. novicida lysine decarboxylase, which we termed LdcF. Here, we investigate the genetic environment of ldcF as well as its evolutionary relationships with other basic AAT-fold amino acid decarboxylase superfamily members, known as key actors in bacterial adaptative stress response and polyamine biosynthesis. We determine the crystal structure of LdcF and compare it with the most thoroughly studied lysine decarboxylase, E. coli LdcI. We analyze the influence of ldcF deletion on bacterial growth under different stress conditions in dedicated growth media, as well as in infected macrophages, and demonstrate its involvement in oxidative stress resistance. Finally, our mass spectrometry-based quantitative proteomic analysis enables identification of 80 proteins with expression levels significantly affected by ldcF deletion, including several DNA repair proteins potentially involved in the diminished capacity of the F. novicida mutant to deal with oxidative stress. Taken together, we uncover an important role of LdcF in F. novicida survival in host cells through participation in oxidative stress response, thereby singling out this previously uncharacterized protein as a potential drug target.	Felix J.|Siebert C.|Ducassou J.N.|Nigou J.|Garcia P.S.|Fraudeau A.|Huard K.|Mas C.|Brochier-Armanet C.|Couté Y.|Gutsche I.|Renesto P.	France/Université Grenoble Alpes/Felix J.|France/Université Grenoble Alpes/Siebert C.|France/Université Grenoble Alpes/Ducassou J.N.|France/Université Grenoble Alpes/Fraudeau A.|France/Université Grenoble Alpes/Huard K.|France/Université Grenoble Alpes/Mas C.|France/Université Grenoble Alpes/Couté Y.|France/Université Grenoble Alpes/Gutsche I.|France/Université Grenoble Alpes/Renesto P.|France/Université de Toulouse/Nigou J.|France/Université Claude Bernard Lyon 1/Garcia P.S.|France/Université Claude Bernard Lyon 1/Brochier-Armanet C.|France/Institut Pasteur, Paris/Garcia P.S.			France	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41598-020-79611-5	Fondation Innovations en Infectiologie	668daa27393fbc602a7f6ac9		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099239005&origin=inward	Université Grenoble Alpes|Université de Toulouse|Université Claude Bernard Lyon 1|Institut Pasteur, Paris	2-s2.0-85099239005	Scientific Reports	Journal	2021-12-01T00:00:00Z	2021	Structural and functional analysis of the Francisella lysine decarboxylase as a key actor in oxidative stress resistance									
Background: Escherichia coli (E. coli) is the principal pathogen that causes biofilm formation. Biofilms are associated with infectious diseases and antibiotic resistance. This study employed proteomic analysis to identify differentially expressed proteins after coculture of E. coli with Lactobacillus rhamnosus GG (LGG) microcapsules. Methods: To explore the relevant protein abundance changes after E. coli and LGG coculture, label-free quantitative proteomic analysis and qRT-PCR were applied to E. coli and LGG microcapsule groups before and after coculture, respectively. Results: The proteomic analysis characterised a total of 1655 proteins in E. coli K12MG1655 and 1431 proteins in the LGG. After coculture treatment, there were 262 differentially expressed proteins in E. coli and 291 in LGG. Gene ontology analysis showed that the differentially expressed proteins were mainly related to cellular metabolism, the stress response, transcription and the cell membrane. A protein interaction network and Kyoto Encyclopaedia of Genes and Genomes (KEGG) pathway analysis indicated that the differentiated proteins were mainly involved in the protein ubiquitination pathway and mitochondrial dysfunction. Conclusions: These findings indicated that LGG microcapsules may inhibit E. coli biofilm formation by disrupting metabolic processes, particularly in relation to energy metabolism and stimulus responses, both of which are critical for the growth of LGG. Together, these findings increase our understanding of the interactions between bacteria under coculture conditions.	Song H.|Lou N.|Liu J.|Xiang H.|Shang D.	China/Dalian Medical University/Song H.|China/Dalian Medical University/Lou N.|China/Dalian Medical University/Liu J.|China/Dalian Medical University/Xiang H.|China/Dalian Medical University/Shang D.			China	6bedea33-7d07-464a-bc87-ef20c103df99	10.1186/s12953-021-00172-0	National Natural Science Foundation of China	668daa27393fbc602a7f6aca	Biofilm inhibition|Coculture|Escherichia coli|Label-free quantitative proteomics|Lactobacillus rhamnosus GG microcapsules	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102300255&origin=inward	Dalian Medical University	2-s2.0-85102300255	Proteome Science	Journal	2021-12-01T00:00:00Z	2021	Label-free quantitative proteomic analysis of the inhibition effect of Lactobacillus rhamnosus GG on Escherichia coli biofilm formation in co-culture									
Background: A few recent large efforts significantly expanded the collection of human-associated bacterial genomes, which now contains thousands of entities including reference complete/draft genomes and metagenome assembled genomes (MAGs). These genomes provide useful resource for studying the functionality of the human-associated microbiome and their relationship with human health and diseases. One application of these genomes is to provide a universal reference for database search in metaproteomic studies, when matched metagenomic/metatranscriptomic data are unavailable. However, a greater collection of reference genomes may not necessarily result in better peptide/protein identification because the increase of search space often leads to fewer spectrum-peptide matches, not to mention the drastic increase of computation time. [MediaObject not available: see fulltext.] Methods: Here, we present a new approach that uses two steps to optimize the use of the reference genomes and MAGs as the universal reference for human gut metaproteomic MS/MS data analysis. The first step is to use only the high-abundance proteins (HAPs) (i.e., ribosomal proteins and elongation factors) for metaproteomic MS/MS database search and, based on the identification results, to derive the taxonomic composition of the underlying microbial community. The second step is to expand the search database by including all proteins from identified abundant species. We call our approach HAPiID (HAPs guided metaproteomics IDentification). Results: We tested our approach using human gut metaproteomic datasets from a previous study and compared it to the state-of-the-art reference database search method MetaPro-IQ for metaproteomic identification in studying human gut microbiota. Our results show that our two-steps method not only performed significantly faster but also was able to identify more peptides. We further demonstrated the application of HAPiID to revealing protein profiles of individual human-associated bacterial species, one or a few species at a time, using metaproteomic data. Conclusions: The HAP guided profiling approach presents a novel effective way for constructing target database for metaproteomic data analysis. The HAPiID pipeline built upon this approach provides a universal tool for analyzing human gut-associated metaproteomic data.	Stamboulian M.|Li S.|Ye Y.	United States/Luddy School of Informatics, Computing, and Engineering/Stamboulian M.|United States/Luddy School of Informatics, Computing, and Engineering/Li S.|United States/Luddy School of Informatics, Computing, and Engineering/Ye Y.			United States	6bedea33-7d07-464a-bc87-ef20c103df99	10.1186/s40168-021-01035-8	National Institute of Allergy and Infectious Diseases	668daa27393fbc602a7f6acb	Expanded target database|High-abundance protein (HAP)|Human gut metaproteomics|Sample profiling|Spectra search	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103805731&origin=inward	Luddy School of Informatics, Computing, and Engineering	2-s2.0-85103805731	Microbiome	Journal	2021-12-01T00:00:00Z	2021	Using high-abundance proteins as guides for fast and effective peptide/protein identification from human gut metaproteomic data									
Background: Plant defensins are a broadly distributed family of antimicrobial peptides which have been primarily studied for agriculturally relevant antifungal activity. Recent studies have probed defensins against Gram-negative bacteria revealing evidence for multiple mechanisms of action including membrane lysis and ribosomal inhibition. Herein, a truncated synthetic analog containing the γ-core motif of Amaranthus tricolor DEF2 (Atr-DEF2) reveals Gram-negative antibacterial activity and its mechanism of action is probed via proteomics, outer membrane permeability studies, and iron reduction/chelation assays. Results: Atr-DEF2(G39-C54) demonstrated activity against two Gram-negative human bacterial pathogens, Escherichia coli and Klebsiella pneumoniae. Quantitative proteomics revealed changes in the E. coli proteome in response to treatment of sub-lethal concentrations of the truncated defensin, including bacterial outer membrane (OM) and iron acquisition/processing related proteins. Modification of OM charge is a common response of Gram-negative bacteria to membrane lytic antimicrobial peptides (AMPs) to reduce electrostatic interactions, and this mechanism of action was confirmed for Atr-DEF2(G39-C54) via an N-phenylnaphthalen-1-amine uptake assay. Additionally, in vitro assays confirmed the capacity of Atr-DEF2(G39-C54) to reduce Fe3+ and chelate Fe2+ at cell culture relevant concentrations, thus limiting the availability of essential enzymatic cofactors. Conclusions: This study highlights the utility of plant defensin γ-core motif synthetic analogs for characterization of novel defensin activity. Proteomic changes in E. coli after treatment with Atr-DEF2(G39-C54) supported the hypothesis that membrane lysis is an important component of γ-core motif mediated antibacterial activity but also emphasized that other properties, such as metal sequestration, may contribute to a multifaceted mechanism of action.	Moyer T.B.|Purvis A.L.|Wommack A.J.|Hicks L.M.	United States/College of Arts &amp; Sciences/Moyer T.B.|United States/College of Arts &amp; Sciences/Hicks L.M.|United States/High Point University/Purvis A.L.|United States/High Point University/Wommack A.J.			United States	6bedea33-7d07-464a-bc87-ef20c103df99	10.1186/s12866-021-02176-4	National Science Foundation	668daa27393fbc602a7f6acc	Amaranthus tricolor|Defensins|Escherichia coli|Iron chelation|Iron reduction|Membrane lysis	https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104122454&origin=inward	College of Arts &amp; Sciences|High Point University	2-s2.0-85104122454	BMC Microbiology	Journal	2021-12-01T00:00:00Z	2021	Proteomic response of Escherichia coli to a membrane lytic and iron chelating truncated Amaranthus tricolor defensin									
Communities of bacteria called biofilms are characterized by reduced diffusion, steep oxygen, and redox gradients and specific properties compared to individualized planktonic bacteria. In this study, we investigated whether signaling via nitrosylation of protein cysteine thiols (S-nitrosylation), regulating a wide range of functions in eukaryotes, could also specifically occur in biofilms and contribute to bacterial adaptation to this widespread lifestyle. We used a redox proteomic approach to compare cysteine S-nitrosylation in aerobic and anaerobic biofilm and planktonic Escherichia coli cultures and we identified proteins with biofilm-specific S-nitrosylation status. Using bacterial genetics and various phenotypic screens, we showed that impairing S-nitrosylation in proteins involved in redox homeostasis and amino acid synthesis such as OxyR, KatG, and GltD altered important biofilm properties, including motility, biofilm maturation, or resistance to oxidative stress. Our study therefore revealed that S-nitrosylation constitutes a physiological basis underlying functions critical for E. coli adaptation to the biofilm environment.	Barraud N.|Létoffé S.|Beloin C.|Vinh J.|Chiappetta G.|Ghigo J.M.	France/École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris/Vinh J.|France/École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris/Chiappetta G.|France/Institut Pasteur, Paris/Barraud N.|France/Institut Pasteur, Paris/Létoffé S.|France/Institut Pasteur, Paris/Beloin C.|France/Institut Pasteur, Paris/Ghigo J.M.			France	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41522-021-00203-w	Fondation pour la Recherche Médicale	668daa27393fbc602a7f6acd		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104356984&origin=inward	École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris|Institut Pasteur, Paris	2-s2.0-85104356984	npj Biofilms and Microbiomes	Journal	2021-12-01T00:00:00Z	2021	Lifestyle-specific S-nitrosylation of protein cysteine thiols regulates Escherichia coli biofilm formation and resistance to oxidative stress									
Conventional approaches to identify secreted factors that regulate homeostasis are limited in their abilities to identify the tissues/cells of origin and destination. We established a platform to identify secreted protein trafficking between organs using an engineered biotin ligase (BirA*G3) that biotinylates, promiscuously, proteins in a subcellular compartment of one tissue. Subsequently, biotinylated proteins are affinity-enriched and identified from distal organs using quantitative mass spectrometry. Applying this approach in Drosophila, we identify 51 muscle-secreted proteins from heads and 269 fat body-secreted proteins from legs/muscles, including CG2145 (human ortholog ENDOU) that binds directly to muscles and promotes activity. In addition, in mice, we identify 291 serum proteins secreted from conditional BirA*G3 embryo stem cell-derived teratomas, including low-abundance proteins with hormonal properties. Our findings indicate that the communication network of secreted proteins is vast. This approach has broad potential across different model systems to identify cell-specific secretomes and mediators of interorgan communication in health or disease.	Droujinine I.A.|Meyer A.S.|Wang D.|Udeshi N.D.|Hu Y.|Rocco D.|McMahon J.A.|Yang R.|Guo J.J.|Mu L.|Carey D.K.|Svinkina T.|Zeng R.|Branon T.|Tabatabai A.|Bosch J.A.|Asara J.M.|Ting A.Y.|Carr S.A.|McMahon A.P.|Perrimon N.	United States/Yale School of Engineering &amp; Applied Science/Mu L.|United States/Chan Zuckerberg Biohub/Branon T.|United States/Chan Zuckerberg Biohub/Ting A.Y.|United States/Beth Israel Deaconess Medical Center/Asara J.M.|United States/Keck School of Medicine of USC/Meyer A.S.|United States/Keck School of Medicine of USC/McMahon J.A.|United States/Keck School of Medicine of USC/Yang R.|United States/Keck School of Medicine of USC/Guo J.J.|United States/Keck School of Medicine of USC/McMahon A.P.|United States/Stanford University/Ting A.Y.|United States/Howard Hughes Medical Institute/Perrimon N.|United States/Harvard Medical School/Droujinine I.A.|United States/Harvard Medical School/Wang D.|United States/Harvard Medical School/Hu Y.|United States/Harvard Medical School/Rocco D.|United States/Harvard Medical School/Zeng R.|United States/Harvard Medical School/Tabatabai A.|United States/Harvard Medical School/Bosch J.A.|United States/Harvard Medical School/Asara J.M.|United States/Harvard Medical School/Perrimon N.|United States/Broad Institute/Udeshi N.D.|United States/Broad Institute/Carey D.K.|United States/Broad Institute/Svinkina T.|United States/Broad Institute/Carr S.A.|United States/Scripps Research/Droujinine I.A.|China/China Agricultural University/Wang D.			United States|China	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41467-021-22599-x	National Institutes of Health	668daa27393fbc602a7f6ace		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104786824&origin=inward	Yale School of Engineering &amp; Applied Science|Chan Zuckerberg Biohub|Beth Israel Deaconess Medical Center|Keck School of Medicine of USC|China Agricultural University|Stanford University|Howard Hughes Medical Institute|Harvard Medical School|Broad Institute|Scripps Research	2-s2.0-85104786824	Nature Communications	Journal	2021-12-01T00:00:00Z	2021	Proteomics of protein trafficking by in vivo tissue-specific labeling									
Crosslinking mass spectrometry has developed into a robust technique that is increasingly used to investigate the interactomes of organelles and cells. However, the incomplete and noisy information in the mass spectra of crosslinked peptides limits the numbers of protein–protein interactions that can be confidently identified. Here, we leverage chromatographic retention time information to aid the identification of crosslinked peptides from mass spectra. Our Siamese machine learning model xiRT achieves highly accurate retention time predictions of crosslinked peptides in a multi-dimensional separation of crosslinked E. coli lysate. Importantly, supplementing the search engine score with retention time features leads to a substantial increase in protein–protein interactions without affecting confidence. This approach is not limited to cell lysates and multi-dimensional separation but also improves considerably the analysis of crosslinked multiprotein complexes with a single chromatographic dimension. Retention times are a powerful complement to mass spectrometric information to increase the sensitivity of crosslinking mass spectrometry analyses.	Giese S.H.|Sinn L.R.|Wegner F.|Rappsilber J.	Germany/Hasso-Plattner-Institut für Softwaresystemtechnik GmbH/Giese S.H.|Germany/Universität Potsdam/Giese S.H.|Germany/Technische Universität Berlin/Giese S.H.|Germany/Technische Universität Berlin/Sinn L.R.|Germany/Technische Universität Berlin/Wegner F.|Germany/Technische Universität Berlin/Rappsilber J.|United Kingdom/The University of Edinburgh/Rappsilber J.			Germany|United Kingdom	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41467-021-23441-0	Nvidia	668daa27393fbc602a7f6acf		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107011777&origin=inward	Hasso-Plattner-Institut für Softwaresystemtechnik GmbH|The University of Edinburgh|Universität Potsdam|Technische Universität Berlin	2-s2.0-85107011777	Nature Communications	Journal	2021-12-01T00:00:00Z	2021	Retention time prediction using neural networks increases identifications in crosslinking mass spectrometry									
Synthetic metabolic pathways are a burden for engineered bacteria, but the underlying mechanisms often remain elusive. Here we show that the misregulated activity of the transcription factor Cra is responsible for the growth burden of glycerol overproducing E. coli. Glycerol production decreases the concentration of fructose-1,6-bisphoshate (FBP), which then activates Cra resulting in the downregulation of glycolytic enzymes and upregulation of gluconeogenesis enzymes. Because cells grow on glucose, the improper activation of gluconeogenesis and the concomitant inhibition of glycolysis likely impairs growth at higher induction of the glycerol pathway. We solve this misregulation by engineering a Cra-binding site in the promoter controlling the expression of the rate limiting enzyme of the glycerol pathway to maintain FBP levels sufficiently high. We show the broad applicability of this approach by engineering Cra-dependent regulation into a set of constitutive and inducible promoters, and use one of them to overproduce carotenoids in E. coli.	Wang C.Y.|Lempp M.|Farke N.|Donati S.|Glatter T.|Link H.	Germany/Eberhard Karls Universität Tübingen/Wang C.Y.|Germany/Eberhard Karls Universität Tübingen/Farke N.|Germany/Eberhard Karls Universität Tübingen/Link H.|Germany/Max Planck Institute for Terrestrial Microbiology/Wang C.Y.|Germany/Max Planck Institute for Terrestrial Microbiology/Lempp M.|Germany/Max Planck Institute for Terrestrial Microbiology/Farke N.|Germany/Max Planck Institute for Terrestrial Microbiology/Donati S.|Germany/Max Planck Institute for Terrestrial Microbiology/Glatter T.|Germany/Max Planck Institute for Terrestrial Microbiology/Link H.			Germany	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41467-021-25142-0	Deutsche Forschungsgemeinschaft	668daa27393fbc602a7f6ad0		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112731123&origin=inward	Eberhard Karls Universität Tübingen|Max Planck Institute for Terrestrial Microbiology	2-s2.0-85112731123	Nature Communications	Journal	2021-12-01T00:00:00Z	2021	Metabolome and proteome analyses reveal transcriptional misregulation in glycolysis of engineered E. coli									
To construct a superior microbial cell factory for chemical synthesis, a major challenge is to fully exploit cellular potential by identifying and engineering beneficial gene targets in sophisticated metabolic networks. Here, we take advantage of CRISPR interference (CRISPRi) and omics analyses to systematically identify beneficial genes that can be engineered to promote free fatty acids (FFAs) production in Escherichia coli. CRISPRi-mediated genetic perturbation enables the identification of 30 beneficial genes from 108 targets related to FFA metabolism. Then, omics analyses of the FFAs-overproducing strains and a control strain enable the identification of another 26 beneficial genes that are seemingly irrelevant to FFA metabolism. Combinatorial perturbation of four beneficial genes involving cellular stress responses results in a recombinant strain ihfAL−-aidB+-ryfAM−-gadAH−, producing 30.0 g L−1 FFAs in fed-batch fermentation, the maximum titer in E. coli reported to date. Our findings are of help in rewiring cellular metabolism and interwoven intracellular processes to facilitate high-titer production of biochemicals.	Fang L.|Fan J.|Luo S.|Chen Y.|Wang C.|Cao Y.|Song H.	China/Tianjin University/Fang L.|China/Tianjin University/Fan J.|China/Tianjin University/Luo S.|China/Tianjin University/Chen Y.|China/Tianjin University/Wang C.|China/Tianjin University/Cao Y.|China/Tianjin University/Song H.			China	6bedea33-7d07-464a-bc87-ef20c103df99	10.1038/s41467-021-25243-w	National Outstanding Youth Science Fund Project of National Natural Science Foundation of China	668daa27393fbc602a7f6ad1		https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113155205&origin=inward	Tianjin University	2-s2.0-85113155205	Nature Communications	Journal	2021-12-01T00:00:00Z	2021	Genome-scale target identification in Escherichia coli for high-titer production of free fatty acids									
